Author name,Document index,Paragraph index,Sentence index,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25,Word 26,Word 27,Word 28,Word 29,Word 30,Word 31,Word 32,Word 33,Word 34,Word 35,Word 36,Word 37,Word 38,Word 39,Word 40,Word 41,Word 42,Word 43,Word 44,Word 45,Word 46,Word 47,Word 48,Word 49,Word 50,Word 51,Word 52,Word 53,Word 54,Word 55,Word 56,Word 57,Word 58,Word 59,Word 60,Word 61,Word 62,Word 63,Word 64,Word 65,Word 66,Word 67,Word 68,Word 69,Word 70,Word 71,Word 72,Word 73,Word 74,Word 75,Word 76,Word 77,Word 78,Word 79,Word 80,Word 81,Word 82,Word 83,Word 84,Word 85,Word 86,Word 87,Word 88,Word 89,Word 90,Word 91,Word 92,Word 93,Word 94,Word 95,Word 96,Word 97,Word 98
Obama,1,25,2,We,must,act,",",knowing,that,our,work,will,be,imperfect,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,1,25,3,We,must,act,",",we,must,act,knowing,that,today,',s,victories,will,be,only,partial,and,that,it,will,be,up,to,those,who,stand,here,in,4,years,and,40,years,and,400,years,hence,to,advance,the,timeless,spirit,once,conferred,to,us,in,a,spare,Philadelphia,hall,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,1,26,0,My,fellow,Americans,",",the,oath,I,have,sworn,before,you,today,",",like,the,one,recited,by,others,who,serve,in,this,Capitol,",",was,an,oath,to,God,and,country,",",not,party,or,faction,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,1,26,1,And,we,must,faithfully,execute,that,pledge,during,the,duration,of,our,service,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,1,26,2,But,the,words,I,spoke,today,are,not,so,different,from,the,oath,that,is,taken,each,time,a,soldier,signs,up,for,duty,or,an,immigrant,realizes,her,dream,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,1,26,3,My,oath,is,not,so,different,from,the,pledge,we,all,make,to,the,flag,that,waves,above,and,that,fills,our,hearts,with,pride,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,1,27,0,They,are,the,words,of,citizens,and,they,represent,our,greatest,hope,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,1,27,1,You,and,I,",",as,citizens,",",have,the,power,to,set,this,country,',s,course,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,1,27,2,You,and,I,",",as,citizens,",",have,the,obligation,to,shape,the,debates,of,our,timeâ,,not,only,with,the,votes,we,cast,",",but,with,the,voices,we,lift,in,defense,of,our,most,ancient,values,and,enduring,ideals,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,1,28,0,Let,us,",",each,of,us,",",now,embrace,with,solemn,duty,and,awesome,joy,what,is,our,lasting,birthright,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,1,28,1,With,common,effort,and,common,purpose,",",with,passion,and,dedication,",",let,us,answer,the,call,of,history,and,carry,into,an,uncertain,future,that,precious,light,of,freedom,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,1,29,0,Thank,you,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,1,29,1,God,bless,you,",",and,may,He,forever,bless,these,United,States,of,America,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
